Unnamed: 0,periodo,estu_tipodocumento,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_caracter,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,estu_genero,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
220,20224,1,1,2,1,1,1,10,1,1,2,2,7,3,0,1,1,1,2,2,2,2,2,2
221,20224,1,1,2,1,2,2,27,1,2,3,3,1,2,0,0,1,1,2,2,2,2,3,3
222,20224,1,1,2,1,1,2,7,1,2,3,3,1,3,0,0,0,1,2,2,2,2,2,3
223,20224,1,2,2,1,3,2,3,2,1,2,11,2,4,1,0,1,0,4,3,3,3,3,4
224,20224,1,1,2,1,1,6,8,1,2,11,6,1,4,1,1,1,1,3,3,3,3,3,4
225,20224,1,1,2,1,1,1,10,1,1,11,1,1,3,0,1,0,1,2,2,1,2,3,3
226,20224,1,2,2,1,3,1,3,1,2,3,3,1,3,0,1,1,1,2,2,2,2,2,3
227,20224,1,2,2,1,3,2,3,1,2,1,11,3,3,0,1,1,0,3,3,3,3,3,3
228,20224,1,2,2,1,3,2,3,1,1,2,2,1,3,0,1,1,1,2,2,2,2,2,2
229,20224,1,2,2,1,1,1,12,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2
230,20224,1,2,2,1,3,4,3,2,1,2,1,3,2,1,1,1,1,3,3,2,3,2,3
231,20224,1,2,2,1,1,4,3,1,2,1,11,4,2,1,1,1,1,3,3,3,3,3,3
232,20224,2,2,2,1,1,6,30,1,2,2,7,3,3,0,0,1,1,3,3,3,3,3,4
233,20224,1,2,2,1,3,4,3,2,2,9,9,5,2,1,1,1,1,4,3,4,3,4,4
234,20224,1,2,2,1,1,6,11,1,2,7,3,1,4,0,0,0,0,2,2,2,2,2,3
235,20224,1,2,2,1,1,2,9,1,2,3,5,4,2,0,0,1,1,2,2,2,2,2,2
236,20224,1,2,2,1,3,2,19,1,2,6,2,4,2,0,1,1,1,2,2,2,2,2,3
237,20224,1,1,2,1,1,2,10,1,2,5,3,3,2,0,1,1,1,2,2,2,2,2,3
238,20224,2,2,2,1,3,2,3,1,1,5,2,1,3,1,0,0,1,2,2,2,2,2,2
239,20224,1,1,2,1,2,6,14,1,2,2,10,3,4,0,0,0,1,2,2,2,2,2,3
240,20224,1,2,2,1,1,2,3,1,1,2,5,1,2,0,0,0,1,2,2,1,2,2,2
241,20224,1,2,2,1,1,4,3,1,2,11,9,4,2,1,1,1,1,3,3,3,2,2,3
242,20224,1,2,2,1,2,2,15,1,1,2,5,4,2,0,0,0,1,2,2,2,2,2,3
243,20224,2,1,2,1,1,2,8,1,1,2,2,3,4,0,0,1,1,2,2,2,2,3,3
244,20224,2,2,2,1,1,6,30,1,1,3,3,1,3,0,0,0,1,2,2,2,2,2,2
245,20224,1,2,2,1,1,6,3,1,1,2,2,2,2,0,1,1,1,2,3,3,3,2,3
246,20224,1,2,2,1,1,6,24,1,1,4,4,2,1,0,0,1,0,2,2,2,2,2,3
247,20224,1,2,2,1,3,2,19,2,2,7,7,3,1,0,1,1,1,3,3,3,3,3,3
248,20224,1,2,2,1,1,6,5,1,2,1,5,2,3,0,0,1,0,2,3,3,2,3,3
249,20224,1,2,2,1,1,1,3,1,2,7,2,2,2,1,0,1,0,2,2,2,2,3,3
250,20224,1,2,2,1,1,6,9,1,1,3,5,7,2,0,1,1,1,2,3,2,2,2,3
251,20224,1,2,2,1,3,2,3,1,2,2,8,3,2,0,1,1,1,3,3,3,3,3,4
252,20224,1,1,2,1,1,2,15,1,1,3,3,1,2,0,0,0,1,2,2,2,2,2,3
253,20224,1,2,2,1,3,2,3,2,2,1,5,3,4,1,1,0,1,2,2,2,1,2,2
254,20224,1,2,2,1,1,1,3,1,1,2,2,3,2,0,0,1,1,3,3,2,2,3,3
255,20224,2,1,2,1,1,6,8,1,2,3,2,1,4,0,0,0,0,3,3,2,2,3,3
