id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
113	2022	1	2	2	1	1	6	12	1	2	3	3	1	4	0	0	1	1	2	1	2	3	1	1
114	2022	2	1	2	1	1	2	27	1	2	5	5	7	5	0	0	1	1	3	1	3	3	3	3
115	2022	1	1	2	1	1	2	12	1	2	5	5	2	3	0	0	1	0	2	4	3	3	4	3
116	2022	1	1	2	1	2	6	17	1	1	6	2	1	2	0	1	0	1	2	2	1	1	1	1
117	2022	2	2	2	1	1	2	3	1	2	5	9	4	3	0	1	1	1	4	4	3	4	4	4
118	2022	2	2	2	1	3	3	19	1	2	4	8	1	4	0	0	1	0	1	3	2	2	3	3
119	2022	1	2	2	1	3	2	3	1	2	7	6	1	2	0	0	0	1	3	1	1	2	2	2
120	2022	1	2	2	1	1	6	13	1	1	2	4	3	1	0	0	0	1	3	2	1	3	2	2
121	2022	1	2	2	1	2	6	16	1	1	4	5	1	4	0	0	0	0	2	2	2	2	3	2
122	2022	1	2	2	1	2	6	3	1	2	11	7	3	2	1	1	1	1	3	2	2	1	1	1
123	2022	1	2	2	1	1	1	8	1	1	1	1	2	1	0	0	0	1	2	1	2	1	1	1
124	2022	1	2	2	1	2	6	22	1	2	4	3	1	2	0	0	1	0	2	3	3	3	2	3
125	2022	1	1	2	1	1	6	8	1	1	4	10	1	4	0	0	0	0	1	2	2	2	2	2
126	2022	1	2	2	1	1	2	28	1	1	5	2	7	2	0	0	1	1	1	1	2	1	1	1
127	2022	1	2	2	1	1	1	4	1	1	5	2	1	3	0	1	1	1	1	1	1	1	1	1
128	2022	2	2	2	1	3	3	9	1	1	3	3	1	5	0	0	1	0	2	3	3	3	2	3
129	2022	1	2	2	1	3	2	3	2	1	1	1	4	2	1	0	1	1	3	2	3	2	3	3
130	2022	1	2	2	1	2	2	19	1	2	7	2	2	3	0	1	1	0	3	4	2	4	3	3
131	2022	2	2	2	1	3	1	3	1	1	11	5	7	4	0	0	1	1	1	2	1	2	1	1
132	2022	1	1	2	1	1	6	3	1	2	11	5	3	3	0	0	0	0	1	1	1	2	2	1
133	2022	2	2	2	1	1	2	27	1	1	5	2	1	3	0	0	1	1	2	2	1	1	2	1
134	2022	1	2	2	1	1	6	24	1	1	5	5	1	3	0	0	0	1	2	1	1	1	3	1
135	2022	1	2	2	1	1	2	8	1	1	7	2	1	3	0	0	0	1	4	3	3	3	3	3
136	2022	1	2	2	1	3	2	3	2	1	1	1	3	2	1	1	1	1	4	3	4	4	4	4
137	2022	1	2	2	1	3	1	3	1	2	7	7	1	3	0	0	0	1	4	2	4	3	4	3
138	2022	1	2	2	1	2	6	16	1	2	2	9	1	2	0	1	1	1	3	1	3	1	3	2
139	2022	1	2	2	1	2	6	22	1	1	6	6	4	3	0	1	1	1	2	1	1	1	1	1
140	2022	2	2	2	1	1	6	8	1	1	2	2	3	3	0	0	0	0	2	2	1	3	1	2
141	2022	2	2	2	1	1	6	17	1	1	4	4	7	2	0	0	0	1	1	2	1	1	3	2
142	2022	1	1	2	1	1	2	7	1	2	7	4	7	1	0	0	0	0	2	2	2	3	2	2
143	2022	1	2	2	1	1	4	9	1	2	2	6	2	3	0	0	1	1	4	4	3	2	4	3
144	2022	1	2	2	1	1	6	13	1	2	1	8	2	3	1	0	0	1	4	4	4	4	4	4
145	2022	1	2	2	1	3	3	3	1	2	8	7	2	4	0	0	1	0	3	4	3	4	3	4
146	2022	1	2	2	1	1	2	16	1	1	5	5	3	2	0	0	1	1	3	4	4	4	3	4
147	2022	1	2	2	1	3	1	3	1	2	5	5	1	3	0	1	1	1	4	3	4	3	4	4
148	2022	1	2	2	1	1	2	3	1	2	7	7	2	2	0	1	1	1	3	3	4	4	4	4
149	2022	1	1	2	1	2	2	27	1	2	6	2	1	2	0	0	0	1	3	3	2	3	2	3
150	2022	1	2	2	1	1	2	9	1	1	5	4	1	2	0	0	1	1	3	4	3	3	3	4
151	2022	1	2	2	1	1	3	9	1	2	4	2	1	2	0	1	0	1	2	2	4	3	2	3
152	2022	1	2	2	1	3	1	3	1	2	5	5	2	3	0	0	1	1	2	1	1	1	2	1
153	2022	1	2	2	1	1	2	3	1	2	7	2	2	2	0	0	1	1	3	1	1	1	1	1
154	2022	1	1	2	1	3	2	29	1	1	4	4	1	3	0	0	0	1	1	2	1	2	1	2
155	2022	1	2	2	1	3	1	3	1	2	5	2	1	3	0	0	0	0	3	4	4	4	4	4
