ID;periodo;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;estu_genero;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;punt_ingles;punt_matematicas;punt_sociales_ciudadanas;punt_c_naturales;punt_lectura_critica;punt_global
115;20224;1;1;0;1;3;1;3;1;1;5;0;7;3;0;0;1;1;2;2;2;2;2;3
116;20224;1;1;0;1;1;2;6;1;2;7;2;4;3;0;1;1;1;2;2;2;2;3;3
117;20224;2;1;0;1;2;2;14;1;1;2;2;1;2;1;1;0;1;2;2;1;2;2;2
118;20224;1;2;2;1;3;2;13;2;2;9;1;3;2;0;1;1;1;3;3;3;3;3;4
119;20224;1;2;2;1;3;2;3;1;2;11;2;3;3;0;1;1;1;4;3;3;3;3;4
120;20224;2;2;0;1;3;1;3;1;1;5;5;2;3;0;0;0;0;2;2;2;2;2;3
121;20224;1;2;0;1;1;2;26;1;1;4;4;2;4;0;0;0;1;2;2;2;2;3;3
122;20224;1;2;0;1;0;2;3;2;2;5;3;1;4;0;0;0;1;1;2;2;2;2;2
123;20224;1;2;2;1;3;4;3;2;2;1;1;6;4;1;1;1;1;4;3;3;3;3;4
124;20224;1;2;2;1;2;1;3;1;2;7;5;1;4;0;1;1;1;2;2;2;2;3;3
125;20224;2;2;2;1;1;3;9;1;1;1;10;3;3;0;0;1;1;2;1;1;2;2;2
126;20224;1;2;2;1;3;4;3;2;1;7;8;3;2;0;1;1;1;3;1;1;2;2;2
127;20224;1;1;2;1;1;2;3;1;2;3;1;1;2;0;0;0;0;3;2;2;2;2;3
128;20224;1;2;2;1;3;1;3;1;1;1;2;2;2;1;0;1;1;2;2;2;2;2;2
129;20224;1;1;2;1;3;6;3;1;1;6;5;2;2;0;0;1;1;2;3;2;3;3;3
130;20224;2;2;2;1;1;6;12;1;2;5;4;1;1;0;0;0;1;2;2;2;2;2;3
131;20224;1;1;0;1;3;6;3;1;1;11;2;4;5;1;1;1;1;3;2;2;2;2;3
132;20224;1;2;2;1;1;1;13;1;1;2;2;4;2;0;0;1;1;2;2;1;2;2;2
133;20224;1;2;2;1;2;2;3;1;2;1;7;4;2;0;0;1;1;3;1;2;1;3;2
134;20224;1;1;2;1;1;2;20;1;2;2;2;1;3;0;0;0;1;2;1;2;2;2;2
135;20224;1;2;2;1;3;1;3;1;1;6;5;1;3;0;0;0;1;3;3;3;3;3;3
136;20224;1;1;2;1;1;2;27;1;1;3;5;2;3;0;0;0;1;2;3;2;3;2;3
137;20224;2;1;2;1;1;2;15;1;2;4;10;5;2;1;1;1;0;2;1;2;2;2;2
138;20224;1;2;0;1;1;6;23;1;2;1;1;1;2;0;1;1;1;2;3;2;2;2;3
139;20224;1;2;2;1;1;1;3;1;1;2;3;2;2;0;1;1;0;3;2;3;3;2;3
140;20224;1;2;2;1;1;2;3;1;2;10;10;6;3;0;1;1;1;2;2;2;2;2;2
141;20224;1;2;2;1;1;1;3;1;2;3;5;1;2;0;0;1;1;2;2;3;3;3;3
142;20224;2;2;2;1;3;5;13;2;2;10;3;3;3;1;0;0;1;2;2;2;2;2;2
143;20224;5;2;2;1;3;2;19;2;1;2;1;3;2;0;0;1;1;3;3;3;3;3;4
144;20224;1;2;2;1;2;6;3;1;1;1;2;1;3;0;0;1;1;2;2;2;2;2;2
145;20224;1;2;2;1;1;1;4;1;2;2;2;1;2;0;0;1;0;2;2;2;2;1;2
146;20224;1;2;2;1;3;1;3;1;1;2;5;2;2;1;1;1;1;3;3;3;3;3;3
147;20224;1;2;0;1;3;2;3;1;2;5;8;1;2;0;0;0;1;2;3;2;2;2;3
148;20224;6;1;0;1;3;2;28;1;1;10;2;4;3;0;0;0;1;2;2;2;2;2;3
149;20224;1;1;2;1;2;6;10;1;1;2;2;7;3;0;0;0;1;2;2;2;2;2;3
150;20224;6;1;0;1;0;2;3;1;2;1;3;2;2;0;0;0;0;2;3;2;2;2;3
151;20224;6;1;2;1;3;2;3;1;2;5;4;4;4;0;0;0;1;3;3;2;2;3;3
152;20224;1;2;2;1;2;6;3;1;1;0;0;0;0;3;3;3;3;2;3;2;2;3;3
153;20224;1;2;2;1;1;6;12;1;2;3;3;1;4;0;0;1;1;2;2;2;2;1;2
154;20224;2;1;2;1;1;2;27;1;2;5;5;7;5;0;0;1;1;2;2;2;3;3;3
